"CODE","INTITULE","Nom","TELEPHONE1","EMAIL","ADLIVR_LIGNE1","ADLIVR_LIGNE2","ADLIVR_VILLE","ADLIVR_CODE_POSTAL","CONTRAT_DU","CONTRAT_AU","CODE_VENDEUR"
"300116","","AU BON PAIN MEDOCAIN","06.31.07.15.02","franck.samcey@gmail.com","48 route de pauillac","","SOUSSANS","33460","","","2"
"300219","","AU BON TERROIR","06.46.67.07.35","letoile33@gmail.com","16 rue bouffard","","BORDEAUX","33000","","","2"
"300426","NON CLIENT","AU BOUT DU MONDE ""SALON DE THE""","","","37 Rue des Faures","","BORDEAUX","33800","","","1"
"300815","CLIENT","AU GRE DU VENT","05 58 05 91 95","jeunesse.philippe@orange.fr","768 Route de Saint-Sever","","Saint-Pierre-du-Mont","40280","01/02/2018","31/01/2022","5"
"301323","NON CLIENT","AU HANGAR","0646678500","dhut.julien@yahoo.fr","340,AVENUE DENIS PAPIN","","LA TESTE DE BUCH","33260","","","12"
"300197","","AU NOUVEAU MONDE","06.42.56.68.52","dazzink@gmail.com","2 rue des boucheries","","BORDEAUX","33000","","","2"
"300854","","AU P'TIT CHENOU","","","8 Place de la Liberte","","Aucamville","82600","","","5"
"300155","","AU P'TIT MARCHE","07.83.79.48.55","lilou694@live.fr","7 bis le bourg de cailleau","","BEYCHAC ET CAILLEAU","33750","","","2"
"300414","","AU PLAISIR GOURNMAND","05 56 88 67 77","martinet_bruno@orange.fr","27 Rue de la Careyre","","LE BARP","33114","","","7"
"200306","","AU PLATANE CHEZ MARCO","0559592482","","45 Allée Marines","","BAYONNE","64100","","","4"
"300222","","AUBERGE DE LA FORET","05.56.31.78.02","restaurant-aubergedelaforet@hotmail.com","22 route de la forêt","","SALLEBOEUF","33370","","","2"
"300559","","AUCHAN LA BREDE","05 56 20 20 44","pbigneres@auchan.fr","La Perrucade","","LA BREDE","33650","","23/12/2017","1"
"100169","","AUPOIL Martial","","martial.aupoil@orange.fr","","","","","","","1"
"200221","","AURELIE ETCHEBERRY","","","","","BAYONNE","64100","","","7"
"200071","CLIENT","AUX PETITS OIGNONS","","guerinpat40@gmail.com","","","","","19/01/2018","18/01/2022","7"
"300764","NON CLIENT","Aquatic Landes","","aquaticlandes@gmail.com","Route de l'Océan","","LABENNE","40530","","","7"
"100066","","Arenui Hotel","05 59 52 21 52","arenui@orange.fr","","","","","","","7"
"200283","","Au Pain Nouveau Camping Les Cigales","0623373522","yannick.etche@gmail.com","alimentation Camping Les Cigales"," Avenue de L'ocean","MOLIETS","","","","4"
"300859","","Au p'tit Chenou","","","8 place de la libertée","","Aucamville","82600","","","5"
"300659","","Aux p'tits dèlices","0556821229","","243 rue Sainte Catherine","","BORDEAUX","33000","","","5"
"300830","CLIENT","BAG DIFFUSION - Papaye&Goy. Biganos","","papayetgoyave@orange.fr","PAPAYE ET GOYAVE","Rue des Fonderies - Local 124","BIGANOS","33380","23/02/2018","","1"
"300782","CLIENT","BAG DIFFUSION - Papaye&Goyave Agen","","papayetgoyave@orange.fr","","","","","29/11/2017","","1"
"200158","","BAJADITA","05 59 25 69 52","bayonne@bajadita-restaurant.com","37 QUAI JAUREGUIBERRY","","BAYONNE","64100","","01/08/2017","7"
"100018","NON CLIENT","BAMO'SO","0699783172","mohamedhabri@gmail.com","20 Rue Louis Gendreau","","BORDEAUX","33300","","","1"
"200268","","BAR AU CLOU","0559295083","patricia.biscay@laposte.net","14 Quai Galuperie","","BAYONNE","64100","","","4"
"200238","","BAR BASQUE","0559590478","","1 Rue D'Espagne","","BAYONNE","64100","","",""
"100045","NON CLIENT","BAR BRASSERIE DES GRAVES","0556647603","","17 Place Salvador Allende","","LEOGNAN","33850","","","1"
"200315","","BAR CASA JOSE","0559481900","","91-93 Avenue Du Général De Gaule","","HENDAYE","64700","","","4"
"100189","NON CLIENT","BAR LE BOMBAY","","pbezos@orange.fr","41 Avenue du Général De Gaulle","","ANDERNOS LES BAINS","33510","","","1"
"200036","","BAR RESTAURANT LA PAILLOTE","","o.deranlot@laposte.net","","","","","","","7"
"200199","","BAR RESTAURANT ZUZULUA","","zuzulua@icloud.com","QUARTIER CHERCHE BRUIT","","SAINT PEE SUR NIVELLE","64310","","","7"
"301130","CLIENT","BARRIERE SUN WINE SAS","05 57 41 14 96","bswine_lb@yahoo.fr","17 Route de Bergerac","","Pineuilh","33220","09/10/2018","08/10/2022","2"
"200307","","BAYONNE CAFE","0559429703","frederic.ainciart@gmail.com","7 Rue Port De Castets","","BAYONNE","64100","","","4"
"300585","","BEACH BURGER","","beachburgerlepenon@gmail.com","10 Place Castilla","","SEIGNOSSE","40510","01/07/2017","15/09/2017","7"
"100191","ANCIEN CLIENT","BEAUSOLEIL Philippe - Station Gourmande","","","","","","","","","1"
"301006","","BEEP VALLET","","secretariat@beep-vallet-parking.com","207 Avenue de l'Argonne","","MERIGNAC","33700","","","1"
"200332","","BEFORE","05 58 42 98 14","beforehossegor@gmail.com"," 436 Avenue du Touring Club de France","","SOORTS HOSSEGOR","40150","01/06/2017","31/05/2021","4"
"200302","","BELHARRA ""BRASSERIE DES PYRENNEES""","","m.larroucau@bierespyrenees.com","10 IMPASSE DES JONCS","","BAYONNE","64100","","","7"
"100144","CLIENT","BELLE CAMPAGNE","","Adrien (adrien@belle-campagne.fr)","12 Rue des Bahutiers","","BORDEAUX","33000","","","1"
"300757","CLIENT","BELLEGARDE Patrick- Pizza Bella","05 58 89 57 11","lapizzabella@orange.fr","1100 route departementale 112","","SAUBION","40230","14/12/2017","13/12/2021","5"
"300023","","BERGER Valery","","valitto0@laposte.net","","","","","","","1"
"200308","","BFC SAS LINA","","","12 Rue Maubec","","BAYONNE","64100","","",""
"300212","CLIENT","BG PECHES & CHASSE","05 46 23 86 11","bgpeches@orange.fr","9 Rue Paul-Emile Victor","","VAUX SUR MER","17640","","28/10/2018","1"
"100085","ANCIEN CLIENT","BIBAM BAR -Golf miniature Mayarco","05 59 54 70 34","","","","","","","","7"
"200003","CLIENT","BIBAM SNACK","05 59 54 70 34","dagilles.64@hotmail.fr","","","","","30/05/2016","29/05/2020","7"
"100078","ANCIEN CLIENT","BIDULES ET MERVEILLES","05 40 00 90 32","anneaureliemarchal@gmail.com","75 rue des Ayres","","BORDEAUX","33000","","","1"
"200074","","BIJOUTERIE","","","","","","","","","7"
"200264","","BIKE FACTORY","0558437675","contact@bike-factory.fr","619 Av. Du Touring Club","","SOORTS HOSSEGOR","40150","","","4"
"200269","","BILAGOON","09 52 96 06 17","contact@bilagoon.fr","3 Esplanade Des Gascons","","ANGLET","64600","","29/01/2018","4"
"301273","CLIENT","BISCA BOEUF - SARL LA TABLE DES M","07.87.96.12.65","biscaboeuf@gmail.com","654 allée des chênes","","BISCARROSSE","40600","","","1"
"300111","NON CLIENT","BISTRO CREOLE","06.03.46.91.46","bistrocreole.fr@orange.fr","39 rue des augustins","","BORDEAUX","33000","","","2"
"300416","","BISTRO DU PALAIS - Bergamote","09 86 21 36 46","","5 Rue des fréres Bonie","","BORDEAUX","33000","26/09/2016","","7"
"301140","NON CLIENT","BISTRO REGENT - SAINT MEDARD EN JALLES","0556357438","nicolas.remaut@gmail.com","136 AVENUE MONTAIGNE","","SAINT MEDARD EN JALLES","33127","","","12"
"300185","","BISTRO REGENT VILLENAVE D'ORNON","","nroson@vistalid.fr","","","VILLENAVE D'ORNON","33140","","","1"
"301057","CLIENT","BISTRORAMA - Bistro Regent La Teste","05 47 44 94 79","contact@bistrorama.fr","22 CENTRE COMMERCIAL CAP OCEAN","RUE LAGRUA","LA TESTE DE BUCH","33260","","20/03/2019","1"
"300303","","BISTROT DE LA JALLE","","","22 RUE DU MOULIN BLANC","","EYSINES","33320","","","1"
"300571","","BISTROT DU BOULANGER MBG","","","","","","","","",""
"300189","","BISTROT DU CENTRE","06.27.31.56.74","","35 avenue fernand pillot","","GALGON","33133","","","2"
"300921","","BLACK AND WHITE","0664785056","","11 COURS DE LE MARNE","","BORDEAUX","33800","","","6"
"300138","","BOCK'N CROCK","06.76.75.68.90","maxime-berrouet@hotmail.fr","22 rue garat","","SAINT JEAN DE LUZ","64500","","","2"
"300010","NON CLIENT","BODEGA BODEGA","","maurice.guinaudeau@yahoo.fr","","","","","","","1"
"200057","CLIENT","BODEGA CHEZ GILLES","05 59 25 40 13","bodegagilles@gmail.com","","","","","15/01/2019","14/01/2020","7"
"301259","NON CLIENT","BOTANICA","0643627691","milouschille@gmail.com","QUAI DE QUEYRIES","","BORDEAUX","33000","","","12"
"200280","","BOUCHER DES DOCKS","0559231446","","7 Rue Luis Mariano","","Biarritz","64200","","","4"
"200292","","BOUCHERIE ALZURI Patrick","0559256210","","1 Rue Bernadou","","BAYONNE","64100","","","4"
"300786","","BOUCHERIE BOUEY","0624844767","","","","BLANQUEFORT","33290","","","4"
"200295","","BOUCHERIE CARRERE","0559221301","","halles centrales","","Biarritz","64200","","","4"
"300041","","BOUCHERIE DE SAIGE","","","rue de l'horloge","","PESSAC","33600","","","2"
"200258","","BOUCHERIE FERREIRA","0559549702","","Halles Centrales","","Biarritz","64200","","","4"
"200346","","BOUCHERIE HARCAUT","05 59 59 16 21","","23 RUE POISSONNERIE","","BAYONNE","64100","","","7"
"200147","","BOUCHERIE J.ARRUABARRENA","05 59 20 70 47","contact@arruaberrena.fr","PLACE DE LA REPUBLIQUE","","HENDAYE","64700","","","7"
"300800","","BOUCHERIE VENDAYS","","","","","MONTALIVET","33930","","","4"
"301228","NON CLIENT","BOULAN","0556440843","","10 RUE SICARD","","BORDEAUX","33000","","","12"
"300869","","BOULANGERIE","","","65 avenue des Arenes","","LARRIVIERE SAINT SAVIN","40270","","",""
"300360","","BOULANGERIE AMARANTE","05 56 82 64 74","","","","","","","","7"
"200297","","BOULANGERIE BARBE","0558972043","","65 Rue battere","","SAUBUSSE","40180","","","4"
"301179","NON CLIENT","BOULANGERIE BELMONTE","","belmonte@orange.fr","","","","","","","13"
"300682","","BOULANGERIE DE SAINT VINCENT DE PAUL","0556065344","","","14 AVENUE GUSTAVE EIFFEL","ST VINCENT DE PAUL","33440","","","5"
"300236","","BOULANGERIE DES 7 PORTS","","maraque.stephane@orange.fr","","","","","","","1"
"200289","","BOULANGERIE DES ARENES","0559592267","","Le Forum","Chemin de Salbace","BAYONNE","64100","","","4"
"200288","","BOULANGERIE DES TEMPLIERS","0559418276","","D810 Espace Des Templiers","","BIDART","64210","","","4"
"300857","","BOULANGERIE DUTOUR","0631284242","la-petrie@orange.fr","265 Rue Pierre Brossolette","","COUTRAS","33230","","","6"
"200314","","BOULANGERIE HENRI IV","0680625703","seb.lurde@wanadoo.fr","","","TARBES","65000","","","4"
"200135","","BOULANGERIE LABROSSE","05 58 41 56 84","","","","","","","","7"
"300442","NON CLIENT","BOULANGERIE Lamour Louis","","lamour.louis@gmail.com","Cours Victor Hugo","","BORDEAUX","33000","","","7"
"300243","","BOULANGERIE PASCAL VINET","","","","","","","","","1"
"300561","","BOULANGERIE PATISSERIE SUIFFET","05 58 03 20 58","suiffet.es@outlook.fr","16 RUE DU 8 MAI 1945","","VILLENEUVE DE MARSAN","40190","","","1"
"100064","","BOULANGERIE PATISSERIE de A à Z","","","11 rue de l'étang","","GRADIGNAN","33170","","","1"
"200084","","BOUTIQUE CULTURE SUD","","franleperon@hotmail.fr","","","","","","","7"
"300261","","BOUYSSET Christophe","","arlconcept@sfr.fr","","","SAINT ANDRE DE CUBZAC","33240","","","1"
"100230","","BOUZEGZI Maxime - CHEZ MAXIME","","mateobou84@gmail.com","131 AVENUE DE L'YSER","","MERIGNAC","33700","","","1"
"300890","","BRASSERIE ""LE PASSAGE""","0556912030","","14-15 PLACE CANTELOUP","","BORDEAUX","33800","","","6"
"200130","","BRASSERIE D'IRATY","","","16 RUE DES MESENGES","","Biarritz","64200","","","7"
"200195","","BRASSERIE HAIZE HEGOA","05 59 74 11 03","haizegoa.its@gmail.com","Rue du Fronton","","ITXASSOU","64250","26/03/2018","25/03/2019","7"
"300846","NON CLIENT","BRASSERIE LE PENALTY","0633590351","","33 Avenue Jeanne D'Arc","","BEGLES","33130","","","6"
"300785","","BRASSERIE TERRES NEUVES","0557718083","","4,PLACE DES TERRES NEUVES","","BEGLES","33130","","","4"
"301135","NON CLIENT","BRASSERIE TERRES NEUVES","0672405329","0557718083","PLACE TERRES NEUVES","","BEGLES","33130","","","2"
"100093","NON CLIENT","BREAD STORMING","06 13 14 72 09","","27 Rue Notre Dame","","BORDEAUX","33000","","","1"
"200339","","BRISETEIA","05 59 37 22 43","laura.silva.64000@gmail.com","Le Bourg","","ST PALAIS","64120","","","4"
"200220","NON CLIENT","BROTHERSLAND ""CHEZ TA SOEUR""","","brothersland33@gmail.com","13 de Guienne","","Bordeaux","33000","","","2"
"300488","","Bar Restaurant Mr Dubreuil","","pierre.dubreuil64@laposte.net","Camping","","ASCAIN","64310","","","7"
"300521","","Bar du Marché","05 59 23 48 96","fabsvdev@hotmail.fr","8 Rue des Halles","","BIARRITZ","64200","","","7"
"301078","","Begue Francis","0558720083","","63 avenue du general de gaulle","","CAPBRETON","40130","","",""
"200217","","Bock'n Crock de Luz","","maxime.berrouet@hotmail.fr","Rue Garat","","SAINT JEAN DE LUZ","64500","","","2"
"200188","","Boulangerie Bourdette","05 59 64 66 64","patrickbourdette@orang.fr","","","","","","","7"
"300708","NON CLIENT","Boulangerie DESRE","05 57 95 80 95","","33 RUE FURTADOT","","BORDEAUX","33800","","","4"
"300409","","Boulangerie Gainard","","benjamingainard@hotmail.fr","","","LE TAILLAN MEDOC","33320","","","7"
"300487","CLIENT","Boulangerie Mr Benz - Fronton","05 59 29 39 50","greg.benz64@gmail.com","","","SOURAIDE","64250","22/08/2017","","7"
"200262","","Boulangerie SOARES","0559038969","","16 Place Gen Leclerc","","ANGLET","64600","","","4"
"300920","","Boulangerie Tricolor","0613808006","","8 COURS DE LE SOMME","","BORDEAUX","33800","","","6"
"300721","CLIENT","Boulangerie patisserie Bea-Ludo","05 56 65 85 43","ludo.labarchede@orange.fr","13 place du marché","","Grignols","33690","25/01/2018","24/01/2022","5"
"301110","NON CLIENT","Brasserie de la Poste","","allarypatrick@gmail.com","5 Place St Projet","","BORDEAUX","33000","","","7"
"300009","","CABINET ICARE DOCTEUR LEWIN Jean Marie","05 56 87 16 16","oph.icare@hotmail.fr","553 rte Toulouse","","VILLENAVE D'ORNON","33140","","","1"
"100108","ANCIEN CLIENT","CAFCA - Magasin Addict","02 97 86 44 92","fred.legrand04@orange.fr","Magasin Addict","2 Place Alsace Lorraine","LORIENT","56000","","","1"
"301328","NON CLIENT","CAFE DE LA PAIX","","riviere.laurent@orange.fr","7 Quai de la Poithevinière","","Saint Martin de Ré","17410","","","7"
"300877","","CAFE DE LA PLAGE","","","","","MOLIETS","40660","","","7"
"200080","","CAFE DE PARIS","","","","","","","","","7"
"200260","","CAFE DES HALLES","","xabi@biltoki.com","Halles","","ANGLET","64600","","","4"
"200061","CLIENT","CAFE DU MUSEE","05 59 59 16 39","","","","","","17/10/2016","16/10/2020","7"
"300046","NON CLIENT","CAFE REGENT","05 56 51 27 30","","52 Cours du Chapeau Rouge","","BORDEAUX","33000","","","1"
"301155","","CAFE TTIPIA","","","","","","","","",""
"200076","","CAFE VINTAGE - SARL 366 Vintage Avenue","09 52 63 83 72","eric.giscos@wanadoo.fr","366 Avenue du Touring","","HOSSEGOR","40150","21/02/2018","20/02/2019","7"
"301302","CLIENT","CAFFE ITALIANO","","npandolfi3@gmail.com","Centre Cial Auchan Bouliac","Route de la Gabarre","BOULIAC","33270","31/01/2019","30/01/2022","12"
"300503","NON CLIENT","CAMPING LE LITTORAL - HOURTIN","05 56 09 13 73","camping.littoral@wanadoo.fr","RUE PEY DE CAMIN","","HOURTIN","33990","","","1"
"300025","","CANTINA","","eric.charrier4@orange.fr","","","","","","","1"
"200326","","CANTIRON","","zozeille_ouch@hotmail.fr","","","CAPRETON","","","","4"
"200169","","CAP MOTO","05 58 43 53 59","cap-moto@orange.fr","","","","","","",""
"200202","","CAP OCEAN","","economat@capocean.org","","","SEIGNOSSE","40510","","","7"
"300385","","CAPPADOCE - LHOSTE Michael E. Individuel","05 56 52 43 55","lhostefatima33@gmail.com","4 AVENUE DES GRIFFONS","","CARBON BLANC","33560","","","0603"
"300160","","CARABINS DE BORDEAUX","05 57 57 13 56","carabins2bordeaux@free.fr","146 RUE LEO SAIGNAT","","BORDEAUX","33076","","20/08/2018","1"
"200299","","CARDIFF","0559741963","","Rue de Bahinos","","ANGLET","64600","","","4"
"200189","","CARHARTT","","","","","","","","","2"
"301153","NON CLIENT","CASEY&CITY-SARL EBDH","0607480909","thecity@hotmail.fr","14,RUE CASTELNAULT DAUROS","","BORDEAUX","33000","","","12"
"300329","","CASINO DU LAC DE LA MADELEINE","05 57 73 00 78","ghuart@casino-gujanmestras.fr","LA LANDE COMMUNE EST","2 AVENUE DES LOISIRS","GUJAN MESTRAS","33470","","","1"
"301090","","CATARINO","0556442035","emie.lili@orange.fr","24 BVD VICTOR HUGO","","CREONS","33670","","","2"
"300871","NON CLIENT","CATERING","0670081075","","4 Rue des Ayres","","BORDEAUX","33000","","","6"
"300717","NON CLIENT","CAVE L'OENOPHILE","05 56 30 20 67","","29 place Maucaillou","","SAINT SULPICE ET CAMEYRAC","33450","","","4"
"200304","","CAVE MARIE ART","0671213895","marie.uroulat@gmail.com","","","BAYONNE","64100","","","4"
"300504","CLIENT","CDC SUD","04 68 89 19 79","cdcsud@gmail.com","","","","","","27/02/2018","7"
"300650","","CERCLE DES TRAVAILLEURS","0556250253","","PLACE DE LA CATHEDRALE","","BAZAS","33430","","","5"
"301055","CLIENT","CEVEO ""BAR""","05 56 03 95 01","bombannes @ceveo.com","VILLAGE VACANCE CEVEO LES DUNES","DOMAINE DE BOMBANE","CARCANS","33121","19/07/2018","18/07/2019","4"
"300293","NON CLIENT","CHABELLARD Claire - SERENDIPITY SHOP","","serendipityshop.bdx@gmail.com","","","","","","","1"
"100096","ANCIEN CLIENT","CHACOUETTE","","clementfrench@hotmail.fr","50 Boulevard de la Plage","","LEGE CAP FERRET","33950","","","1"
"300069","NON CLIENT","CHAI BIBI","05.56.63.45.28","a.biello.lechaidesvins@gmail.com","40 AVENUE DU 8 MAI 1945","","LANGON","33210","","","2"
"300779","NON CLIENT","CHARCUTERIE DES FAMILLES","05 57 43 03 89","charcuteriedesfamilles@orange.fr","118 route Nationale","","SAINT ANDRE DE CUBZAC","33240","","","5"
"300769","","CHARRIER Régis - LES CHARMILLES","05 56 20 20 28","","1 RUE LATAPIE","","LA BREDE","33650","","17/12/2018","1"
"300237","","CHATEAU DE MONBAZAN","05 56 62 42 82","monbazan@gmail.com","","","","","","","1"
"300104","","CHEMOI","05.56.67.80.22","laakili@outlook.com","13 avenue du général de gaulle","","LANGOIRAN","33550","","","2"
"300706","NON CLIENT","CHEZ AUDREY","","saveursetvitalite@gmail.com","RUE POISSONNERIE","","BAYONNE","64100","","","7"
"100098","ANCIEN CLIENT","CHEZ BENJAMIN ET PATRICIA","05 56 21 34 49","patben7@msn.com","4 Place Sainte Quitterie","","LATRESNE","33360","","","1"
"300670","","CHEZ CELINE","0964184384","","","1 rue l'escloupey","VIRELADE","33720","","","5"
"200331","","CHEZ FARINETTE","0559384063","frederic.dupouy64@orange.fr","Rue De Devant","RD 936","LABASTIDE VILLEFRANQUE","64270","","","4"
"300486","","CHEZ FRANCK","","","PORT OSTREICOLE","","ANDERNOS LES BAINS","33510","","","1"
"100053","ANCIEN CLIENT","CHEZ HUGUES LE RUBAN","05 56 06 40 09","lanciaux.hugues@bbox.fr","137 Cours Victor Hugo","","BORDEAUX","33000","","","1"
"300098","","CHEZ JULIETTE","06.48.14.07.09","gondercharly@gmail.com","plage laouga , lac de cazaux","","CAZAUX","33260","","","2"
"200088","","CHEZ K'YOTTE - Ossard","05 59 52 90 83","","","","","","02/11/2016","01/11/2019","7"
"200222","","CHEZ THEO","","","25 RUE ABBE ONAINDIA","","SAINT JEAN DE LUZ","64500","","","2"
"300065","NON CLIENT","CHEZ VANILLE","","","30 PLACE DE LA PREVOTE","","CREONS","33670","","","2"
"301121","NON CLIENT","CHICKEN CROUSTY","0631242081","jihad.s02@gmail.com","70 boulevard Tourasse","","PAU","64000","","","5"
"301286","NON CLIENT","CHIPI CHIPI","0674444007","","6 Quai de la grave","","BORDEAUX","33000","","","12"
"300496","","CHM ""SUPERMARCHE DE L'ATLANTIQUE""","","frederic.zasso@sfr.fr","","","VENDAYS MONTALIVET","33390","","",""
"200243","","CHOCOLAT PASCAL","05 59 52 96 49","chocolatpascal@orange.fr","35 Quai Galuperie","","BAYONNE","64100","","","4"
"200164","","CIG UP","0091 97 83 32 98 74","tiphaine.vincent@cig-up.com","16 Rue Eugene Vignat","","Orléans","45000","","","7"
"300492","","CLASSICO","0615191950","","16 cours de l'Yser","","BORDEAUX","33000","","","5"
"300306","","CLINIQUE THIERS - Cabinet du Dr Giry","","","","","","","","",""
"300157","","CLINIQUE THIERS - De Bideran Marie","","","","","","","","","9"
"300156","","CLINIQUE THIERS - Persillon Audrey","","","","","","","","","9"
"100091","","CM-CIC BAIL","","","","","","","","","7"
"300171","","CMB MODELISME","05.56.47.63.92","cmbmodelisme@wanadoo.fr","8 rue guy pellerin","","LE BARP","33114","","","2"
"300775","NON CLIENT","COACH RESTO","","chr@coach-resto.fr","18 chemin Bonnevie","","BEGLES","33130","","","2"
"200338","","COCONUT","05 59 52 98 70","","","","","","","","7"
"200194","","COIFF&CO","05 58 41 00 62","","","","","","","","2"
"200044","","COMMUNITE DE COMMUNES NIVE ADOUR","","","","","","","","","7"
"200257","","COMPAGNIE DES THES","05 59 31 46 77","ludovic_suzor@yahoo.fr","13 Rue Portneuf","","BAYONNE","64100","","","4"
"301131","NON CLIENT","COMPTOIR CHOCOLATHE","0556521818","contact@comptoirchocothe.com","44 RUE DES TROIS CONILS","","BORDEAUX","33000","","","12"
"300497","CLIENT","COMPTOIR DU PALAIS - BAR CHEZ FRED","","machado.fred@yahoo.fr","PLACE DU PALAIS","","BORDEAUX","33000","29/05/2018","28/05/2021","1"
"300007","CLIENT","COMPTOIR DU PALAIS - PLAN B","","machado.fred@yahoo.fr","19 Place du Palais","","BORDEAUX","33000","30/03/2017","29/03/2020","1"
"200120","","COMPTOIR DU SUD","","","","","","","","","1"
"301146","NON CLIENT","COMPTOIR INDOCHINE","0648117691","","228 COURS DE LA MARNE","","BORDEAUX","33000","","","12"
"100094","NON CLIENT","CONCEPT COIFFURE ""LE SALON""","05 56 31 23 73","","92 Avenue Charles de Gaulle","","LA BREDE","33650","","","1"
"100110","NON CLIENT","CONTE","","","","","","","","","1"
"301031","","COOK AND WAVE","0618437803","","Chemin de la Mer","","CAPBRETON","40130","","","5"
"300515","","COPIES CHARTRONS","0640958033","","3 PLACES DU MARCHE DES CHARTRONS","","BORDEAUX","33000","","","5"
"300865","CLIENT","COPIFAC - Espir Claire","","","8 Avenue Jean Darrigrand","","BAYONNE","64100","24/11/2017","","7"
